ocid,title,agency,planned_budget_amount,award_start,award_end,tender_date,district,sector,source_ref
ocds-rw2stw-2DROL-2647/DROLTP-/02-03/074/75,Periodic maintaince works at Sanagaun-Thaiba Road  : DROLTP/337165-3/074/75-0003  ,208 Division Road Office Lalitpur,,2018-01-10T12:29:07+05:45,,2017-10-23 00:00:00+05:45,Lalitpur,Roads/Drainage,588
ocds-rw2stw-2DROL-2654/DROLTP-/02-011/074/75, Footpath and Drain Improvement at  Krishna Galli-Bhatbhateni-Chakupat-Pulchowk Campus Traffic Island : DROLTP/337165-3/074/75/00011  ,208 Division Road Office Lalitpur,,2018-01-04T11:39:46+05:45,,2017-10-23 00:00:00+05:45,Lalitpur,Roads/Drainage,592
ocds-rw2stw-2DROL-2548/DROLTP-/01-01/074/75,Supplying works of construction materials.,208 Division Road Office Lalitpur,,2017-11-26T15:04:23+05:45,,2017-10-17 00:00:00+05:45,Lalitpur,Procurement/General,577
ocds-rw2stw-MPRL-986/EQRP/2073-074/LTR-01,"Reconstruction on Barrack Block at Metropolitan Police Range Jhawalakhel, Lalitpur",Metropolitian Police Range Lalitpur,,,,2017-05-16 12:00:00+05:45,Lalitpur,Other/Uncategorized,3257
ocds-rw2stw-DL-951/DCC/Lalitpur/LRBP/W/NCB/08/073/74,"Khani Khola RCC Bridge, kallon Ikudol-Bhattedanda, Lalitpur",DDC Lalitpur,,2017-06-22T14:10:26+05:45,,2017-05-11 06:00:00+05:45,Lalitpur,Roads/Drainage,1845
ocds-rw2stw-CLPIUENRA-859/21-073/74,Construction of 3 School Buildinf Complex in Lalitpur District.,"Central Level Project Implementation Unit(Education), National Reconstruction Authority",,2017-07-16T17:25:17+05:45,,2017-05-04 10:00:00+05:45,Lalitpur,Buildings/Facilities,1449
ocds-rw2stw-NAOSAT-708/NAST/NCB/ W/073/74/1,"construction of technology building.khumaltar,lalitpur.",Nepal Academy of Science and Technalogy,,,,2017-04-18 17:15:00+05:45,Lalitpur,Buildings/Facilities,3384
"ocds-rw2stw-WSASDOL-710/42/073-74/WSSDO, Lalitpur",Construction of Water quality treatment Project,"Water Supply and Sanitation Division Office, Lalitpur",,2017-06-09T17:55:38+05:45,,2017-04-12 13:00:00+05:45,Lalitpur,Water/Sanitation,4787
ocds-rw2stw-WSASDOL-697/41/073-74/WSSDO,Construction of RCC overhead water storage tank (450Cum),"Water Supply and Sanitation Division Office, Lalitpur",,2017-06-09T17:52:58+05:45,,2017-04-12 13:00:00+05:45,Lalitpur,Water/Sanitation,4795
ocds-rw2stw-DL-7/DDC/Lalit/RTI/NCB-14 (72/73),"Construction of Kodku Khola Bridge,Balkumari Lalitpur SMC and Mahalaxmi Municipality",DDC Lalitpur,,,,2016-06-09 06:00:00+05:45,Lalitpur,Roads/Drainage,1869
