ocid,title,agency,planned_budget_amount,award_start,award_end,tender_date,district,sector,source_ref
ocds-rw2stw-2DROB-1415/DROBKT/01-011/074/075,"Recurrent Maintenance works of Gattaghar Thimi, Lokanthali-Darmeswor-Tikathali, Sinamangal-Manohara-Thimi-sallghari and Thimi karki gaun SRN Roads in Bhaktapur.",204 Division Road Office Bhaktapur,,,,2017-08-09 00:00:00+05:45,Bhaktapur,Roads/Drainage,213
ocds-rw2stw-2DROB-1416/DROBKT/01-012/074/075,"Recurrent Maintenance works of Bhaktapur Hospital Byasi, Bhaktapur-Army Camp-Nagarkot, Byasi -changunarayan and nagarkot katike SRN Roads in Bhaktapur.",204 Division Road Office Bhaktapur,,,,2017-08-09 00:00:00+05:45,Bhaktapur,Roads/Drainage,214
ocds-rw2stw-KDCSOB-1295/KLPP-02/073/074,"Construction of Community Building at   Kamerotar Land Pooling Project, Bhaktapur  ","KVDA,District Commissioner's Office, Bhaktapur",,,,2017-07-13 00:00:00+05:45,Bhaktapur,Buildings/Facilities,2836
ocds-rw2stw-KDCSOB-1294/SLPP -02/073/074,"Construction of Community Building at   Sintitar Land Pooling Project, Bhaktapur  ","KVDA,District Commissioner's Office, Bhaktapur",,,,2017-07-12 00:00:00+05:45,Bhaktapur,Buildings/Facilities,2812
ocds-rw2stw-WSASDOB-681/02/073/74,"Procurement, Supply & Construction of different Items of Bindabasini Co-financing Water Supply & Sanitation Project, Bhaktapur","Water Supply and Sanitation Division Office, Bhaktapur",,,,2017-04-11 00:00:00+05:45,Bhaktapur,Water/Sanitation,4782
ocds-rw2stw-KDCSOB-406/NCB/01/073/074,Hire of heavy equipment for development of block and Plots.,"KVDA,District Commissioner's Office, Bhaktapur",,,,2017-03-01 15:50:00+05:45,Bhaktapur,Other/Uncategorized,2832
ocds-rw2stw-CLPIUB-12073/15-2074/075,"Dismantle of Annex Building at Premises of President's Office, Sital Niwal, Kathmandu",Central Level Project Implementation Unit (Building),,,,2018-06-26 09:00:00+05:45,Kathmandu,Buildings/Facilities,1392
ocds-rw2stw-KTMFTEWRP-11934/KTFT/NCB/074/75/22,Double Cab Pick Up,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,,,,2018-06-14 10:00:00+05:45,Kathmandu,Other/Uncategorized,2897
ocds-rw2stw-KTMFTEWRP-11935/KTFT/NCB/074/75/23,Double Cab Pick Up,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,,,,2018-06-14 10:00:00+05:45,Kathmandu,Other/Uncategorized,2909
ocds-rw2stw-KTMFTEWRP-11933/KTFT/NCB/074/75/21,Double Cab Pick Up,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,,,,2018-06-14 10:00:00+05:45,Kathmandu,Other/Uncategorized,2932
ocds-rw2stw-NSC-11793/ICB/Works/dome/Kathmandu/02/74/75,Supply and Installation of Air Supported All- Weather Multi-Purpose DoME for Indoor Sport Facility at Kathmandu Valley,National Sports Council,,,,2018-06-10 00:00:00+05:45,Kathmandu,Procurement/General,3566
ocds-rw2stw-MOHA-11770/NCB/MOHA/WORKS/2074-75/ 02,"Construction of Shed for Ministry of Home Affairs at Singhdurbar, Kathmandu",Ministry of Home Affairs,,,,2018-06-08 12:30:00+05:45,Kathmandu,Other/Uncategorized,3260
ocds-rw2stw-2DROK-11663/11-074-75/082,Supply of various construction materials at DRO Yard,206 Division Road Office Kathmandu1,,,,2018-06-06 20:00:00+05:45,Kathmandu,Procurement/General,437
ocds-rw2stw-2DROK-11668/11-074-75/086,Road safety and painting works on various SRN/SURN Roads,206 Division Road Office Kathmandu1,,,,2018-06-06 20:00:00+05:45,Kathmandu,Roads/Drainage,438
ocds-rw2stw-2DROK-11662/11-074-75/081,Supply of construction materials at DRO Yard,206 Division Road Office Kathmandu1,,,,2018-06-06 20:00:00+05:45,Kathmandu,Procurement/General,440
ocds-rw2stw-2DROK-11664/11-074-75/083,Supply of subbase at DRO Yard,206 Division Road Office Kathmandu1,,,,2018-06-06 20:00:00+05:45,Kathmandu,Procurement/General,441
ocds-rw2stw-2DROK-11665/11-074-75/084,Thermoplastic painting on various SRN/SURN Roads ,206 Division Road Office Kathmandu1,,,,2018-06-06 20:00:00+05:45,Kathmandu,Roads/Drainage,442
ocds-rw2stw-2DROK-11666/11-074-75/085,Thermoplastic painting works on various SRN/SURN Roads,206 Division Road Office Kathmandu1,,,,2018-06-06 20:00:00+05:45,Kathmandu,Roads/Drainage,449
ocds-rw2stw-NSC-11501/ NCB/Medical Building/WORKS-074/75,"Construction of Sports Medical Clinic  Building ( NCB/Medical Building/WORKS-074/75)  Dasarath Stadium, Tripureshwor,Kathmandu",National Sports Council,,2018-08-12T11:04:36+05:45,,2018-06-04 17:00:00+05:45,Kathmandu,Buildings/Facilities,3561
ocds-rw2stw-KTMFTEWRP-11485/KTFT/NCB/2074/75 /19,Supply & Installation of Lab Equipments,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,,,,2018-05-31 10:00:00+05:45,Kathmandu,Procurement/General,2941
ocds-rw2stw-DOLRAM-11443/IFB No.DOLM/ W/NCB-1/2074/075,"The PROCUREMENT of Renovation and Maintenance work of Land Revenue Office, Dilibazar, Kathmandu",Department of Land Reform and Management,,,,2018-05-30 00:00:00+05:45,Kathmandu,Buildings/Facilities,2037
ocds-rw2stw-EKS-11314/2/074-075,purchasing air ticket for eps worker(kathmandu to seoul),EPS Korea Section,,,,2018-05-27 09:30:00+05:45,Kathmandu,Other/Uncategorized,2329
ocds-rw2stw-NITCK-11295/NITC/G/NCB-10-074/75,Renewal of License Update and Support for Orcale RDBMS,"National Information Technalogy Center, Kathmandu",,,,2018-05-27 00:00:00+05:45,Kathmandu,Other/Uncategorized,3432
ocds-rw2stw-2DROK-11113/DROKTM2/3373314/074/75-28,Supplying and applying of thermoplastic paint package-2,207 Division Road Office Kathmandu2,,,,2018-05-22 01:00:00+05:45,Kathmandu,Procurement/General,422
ocds-rw2stw-2DROK-11117/DROKTM2/ Dharauti /074/75-31,Maintenance of bituminous road (Patch work),207 Division Road Office Kathmandu2,,,,2018-05-22 00:00:00+05:45,Kathmandu,Roads/Drainage,424
ocds-rw2stw-2DROK-11114/DROKTM2/3373314/074/75-29,Supplying and applying of thermoplastic paint package-3   ,207 Division Road Office Kathmandu2,,,,2018-05-22 00:00:00+05:45,Kathmandu,Procurement/General,426
ocds-rw2stw-2DROK-11110/DROKTM2/3373314/074/75-27,Supplying and applying of Thermoplastic Paint package -1,207 Division Road Office Kathmandu2,,,,2018-05-22 00:00:00+05:45,Kathmandu,Procurement/General,428
ocds-rw2stw-2DROK-11116/DROKTM2/3371653/074/75-30,Supply of construction materials,207 Division Road Office Kathmandu2,,,,2018-05-22 00:00:00+05:45,Kathmandu,Procurement/General,431
ocds-rw2stw-PPMOTK-11073/PPMO/SQ/WORKS/02/074/75,Procurement of prefab construction on Samiti Building,"Public Procurement Monitoring Office, Tahachal Kathmandu",,2018-06-08T10:53:43+05:45,,2018-05-21 10:00:00+05:45,Kathmandu,Buildings/Facilities,4023
ocds-rw2stw-NIDK-11031/10  -2074/75,procurement of 4wd Jeep.,"National Investigation Department, Kathmandu",,,,2018-05-20 00:00:00+05:45,Kathmandu,Procurement/General,3415
ocds-rw2stw-NITCK-10929/NITC/G/NCB-9-074/75,Renewal of License of Security Appliances,"National Information Technalogy Center, Kathmandu",,,,2018-05-18 12:00:00+05:45,Kathmandu,Other/Uncategorized,3454
ocds-rw2stw-APFHHK-10745/05/074/075-5,"Stationary, Laundry and Other Items","Armed Police Force Headquarters, Halchowk, Kathmandu",,,,2018-05-14 22:30:00+05:45,Kathmandu,Other/Uncategorized,936
ocds-rw2stw-APFHHK-10743/05/074/075-3,Medicine Items,"Armed Police Force Headquarters, Halchowk, Kathmandu",,,,2018-05-14 22:30:00+05:45,Kathmandu,Other/Uncategorized,940
ocds-rw2stw-APFHHK-10744/05/074/075-4,"Water Supply and Plumbing, Minor Engineering & Other Items","Armed Police Force Headquarters, Halchowk, Kathmandu",,,,2018-05-14 22:30:00+05:45,Kathmandu,Water/Sanitation,975
ocds-rw2stw-APFHHK-10739/05/074/075-2,Workshop & Generator Spare Parts,"Armed Police Force Headquarters, Halchowk, Kathmandu",,,,2018-05-14 20:59:00+05:45,Kathmandu,Other/Uncategorized,938
ocds-rw2stw-APFHHK-10738/05/074/075-1,Vehicles Spare Parts,"Armed Police Force Headquarters, Halchowk, Kathmandu",,,,2018-05-14 20:59:00+05:45,Kathmandu,Other/Uncategorized,952
ocds-rw2stw-NSC-10606/NCB/Kirtipur/Works-074/75,"Kirtipur Multipurpose Hall  Kirtipur,Kathmandu",National Sports Council,,2018-07-22T14:39:06+05:45,,2018-05-13 17:00:00+05:45,Kathmandu,Other/Uncategorized,3514
ocds-rw2stw-NSC-10437/NCB/MULPANI/WORKS-074/75," CONSTRUCTION OF BOUNDRY WALL & MAIN GATE AT MULPANI CRICKET STADIUM (PHASE-2)   MULPANI, KATHMANDU   NCB/WORKS-074/75",National Sports Council,,2018-08-01T17:22:40+05:45,,2018-05-10 20:00:00+05:45,Kathmandu,Other/Uncategorized,3550
ocds-rw2stw-2DROK-10317/10-074-75/048 (RE),Improvement of Mitrapark Gaurighat Nayabasti Road,206 Division Road Office Kathmandu1,,,,2018-05-09 16:00:00+05:45,Kathmandu,Roads/Drainage,435
ocds-rw2stw-NBL-10422/NBL/MSD/Goods/9,IT Support Outsource for the Head office and Kathmandu Valley branches,Nepal Bank Limited,,,,2018-05-09 10:00:00+05:45,Kathmandu,Buildings/Facilities,3395
ocds-rw2stw-NPHMK-3772/NCB/2074-75/REG/13(RE),Construction of  Six Story Ladies Barrack Building and Ward Block(Structural Works),Nepal Police Hospital Maharajgunj Kathmandu ,,,,2018-05-09 00:00:00+05:45,Kathmandu,Buildings/Facilities,3490
ocds-rw2stw-2DROK-10315/10-074-75/079,Supply of construction materials at DRO Yard,206 Division Road Office Kathmandu1,,,,2018-05-08 14:00:00+05:45,Kathmandu,Procurement/General,418
ocds-rw2stw-2DROK-10316/10-074-75/080,Supply of Bitumen and Emulsion at DRO Yard,206 Division Road Office Kathmandu1,,,,2018-05-08 14:00:00+05:45,Kathmandu,Procurement/General,421
ocds-rw2stw-2DROK-10308/10-074-75/061(RE),Recurrent maintenance of SRN/SURN Roads (Sector 1),206 Division Road Office Kathmandu1,,,,2018-05-08 13:00:00+05:45,Kathmandu,Roads/Drainage,405
ocds-rw2stw-2DROK-10309/10-074-75/062(RE),Recurrent maintenance of SRN/SURN Roads (Sector 2),206 Division Road Office Kathmandu1,,,,2018-05-08 13:00:00+05:45,Kathmandu,Roads/Drainage,414
ocds-rw2stw-2DROK-10313/10-074-75/068(RE),Recurrent maintenance of SRN/SURN Roads (Sector 8),206 Division Road Office Kathmandu1,,,,2018-05-08 13:00:00+05:45,Kathmandu,Roads/Drainage,415
ocds-rw2stw-2DROK-10311/10-074-75/065(RE),Recurrent maintenance of SRN/SURN Roads (Sector 5),206 Division Road Office Kathmandu1,,,,2018-05-08 13:00:00+05:45,Kathmandu,Roads/Drainage,420
ocds-rw2stw-2DROK-10310/10-074-75/063(RE),Recurrent maintenance of SRN/SURN Roads (Sector 3),206 Division Road Office Kathmandu1,,,,2018-05-08 13:00:00+05:45,Kathmandu,Roads/Drainage,427
ocds-rw2stw-2DROK-10312/10-074-75/067(RE),Recurrent maintenance of SRN/SURN Roads (Sector 7),206 Division Road Office Kathmandu1,,,,2018-05-08 13:00:00+05:45,Kathmandu,Roads/Drainage,443
ocds-rw2stw-CAAONAED-10324/CAAN / AED /KTM/Boring/ 074-75/26,"Deep Boring and Other associated works at Head office of CAAN, Babarmahal, Kathmandu",Civil Aviation Authority of Nepal Aerodrome Engineering Department,,,,2018-05-08 00:00:00+05:45,Kathmandu,Buildings/Facilities,1352
ocds-rw2stw-KTMFTEWRP-10353/KTFT-NCB-Materials 2074/75-2,Construction Materials,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,,,,2018-05-07 10:30:00+05:45,Kathmandu,Other/Uncategorized,2896
ocds-rw2stw-2DROK-10157/DROKTM2/3371574/074/75-26,Construction of  RCC Slab Culvert at Shere khola Khadka gaun.,207 Division Road Office Kathmandu2,,,,2018-05-06 00:00:00+05:45,Kathmandu,Roads/Drainage,401
ocds-rw2stw-NPHMK-10169/NCB/2074-75/REG/15,Structural Works of Emergency Block(8 storey including basement)  ,Nepal Police Hospital Maharajgunj Kathmandu ,,,,2018-05-03 14:30:00+05:45,Kathmandu,Other/Uncategorized,3503
ocds-rw2stw-NITCK-10139/NITC/G/NCB-8-074/75,"SUPPLY, DELIVERY AND INSTALLATION OF SERVER, STORAGE, VIRTUALIZATION AND ENTERPRISE MAIL SYSTEM","National Information Technalogy Center, Kathmandu",,,,2018-05-02 12:00:00+05:45,Kathmandu,Procurement/General,3447
ocds-rw2stw-NPHQK-10110/NCB/ PHQ/REG/2074-075/ 05,Construction of Barrack Block ( GF+FF+SF+TF Structure Only) for Motor and Transport Division,"Nepal Police Head Quarter, Kathmandu",,,,2018-05-02 12:00:00+05:45,Kathmandu,Other/Uncategorized,3493
ocds-rw2stw-KL-10018/GON/KAISERMAHAL/2074-75/NCB - 01,"Construction of Prefabricated library hall at Kaisermahal, Kathmandu",Kaiser Library,,,,2018-04-29 10:00:00+05:45,Kathmandu,Other/Uncategorized,2842
ocds-rw2stw-KTMFTEWRP-4988/KTFT/NCB/WORKS/2074/075-17,"Road Way excavation, Road way embankment construction, Composite  soil reinforcement System, Cross Drainage Structure  and other Structure's Construction 17",Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,,,,2018-04-29 10:00:00+05:45,Kathmandu,Roads/Drainage,2966
ocds-rw2stw-CLPIUB-1884/13-074/075,"Construction of Nepal Rastra Banking Office Building,Thapathali,Kathmandu",Central Level Project Implementation Unit (Building),,,,2018-04-29 09:00:00+05:45,Kathmandu,Buildings/Facilities,1394
ocds-rw2stw-NSC-7243/ncb/good/74/75,"Sports Goods Purchases, Tripureshwor, Kathmandu   Contract No. 02-074/075 ",National Sports Council,,2018-05-15T12:56:52+05:45,,2018-04-26 14:00:00+05:45,Kathmandu,Procurement/General,3530
ocds-rw2stw-FCB-9736/RSDPAF/6-8/2074-75,"Site Preparation for Staking of 1 Set HS 20 44 Modular Steel Bridge Parts at HED Kathmandu Camp, Minbhawan, Kathmandu",Foreign Cooperation Branch,,,,2018-04-23 01:00:00+05:45,Kathmandu,Roads/Drainage,2378
ocds-rw2stw-DTODK-9753/DTO/ KTM/ Goods/ NCB-02/074-075,Fabrication of steel Parts and transportation up to road heads of   a)Okhareni Bhangal Steel Truss Bridge Sundarijal   b)Sundarimai Steel Truss Bridge Sundarijal   c) Bagarkhola Steel Truss Bridge Lapsiphedi  ,"District Technical Office (DTO), Kathmandu",,,,2018-04-20 20:00:00+05:45,Kathmandu,Roads/Drainage,2251
ocds-rw2stw-2DROK-9032/09-074-75/078,Improvement of Ringroad Shoulder (Suekedhara Narayangopal chowk),206 Division Road Office Kathmandu1,,,,2018-04-18 15:00:00+05:45,Kathmandu,Roads/Drainage,587
ocds-rw2stw-2DROK-9031/09-074-75/077,Improvement of Tilganga Bagmati Corridor Road,206 Division Road Office Kathmandu1,,,,2018-04-18 14:00:00+05:45,Kathmandu,Roads/Drainage,554
ocds-rw2stw-2DROK-9030/09-074-75/076,Improvement of Bu.Na.Pa. 8 Highland Bhangal Krishna Mandir Lokeshwor Mahadev Mandir Road,206 Division Road Office Kathmandu1,,,,2018-04-18 14:00:00+05:45,Kathmandu,Roads/Drainage,560
ocds-rw2stw-2DROK-9029/09-074-75/075,Specific maintenance of Sankhu Lapsiphedi Bhotechaur Road,206 Division Road Office Kathmandu1,,,,2018-04-18 14:00:00+05:45,Kathmandu,Roads/Drainage,563
ocds-rw2stw-2DROK-9028/09-074-75/074,Specific maintenance of Mitrapark Gaurighat Nayabasti Road,206 Division Road Office Kathmandu1,,,,2018-04-17 23:59:00+05:45,Kathmandu,Roads/Drainage,547
ocds-rw2stw-2DROK-9027/09-074-75/073,Improvement of Suntakhan (Ganeshthan) Totha Maitinepal Road,206 Division Road Office Kathmandu1,,,,2018-04-17 23:30:00+05:45,Kathmandu,Roads/Drainage,545
ocds-rw2stw-2DROK-9026/09-074-75/072,Specific maintenance of Narayanhiti Road,206 Division Road Office Kathmandu1,,,,2018-04-17 23:00:00+05:45,Kathmandu,Roads/Drainage,557
ocds-rw2stw-2DROK-9011/09-074-75/069,Thermoplastic painting on various SRN/SURN Roads,206 Division Road Office Kathmandu1,,,,2018-04-17 20:00:00+05:45,Kathmandu,Roads/Drainage,538
ocds-rw2stw-2DROK-9009/09-074-75/067,Recurrent maintenance of SRN/SURN Roads (Sector 7),206 Division Road Office Kathmandu1,,,,2018-04-17 20:00:00+05:45,Kathmandu,Roads/Drainage,546
ocds-rw2stw-2DROK-9025/09-074-75/071,Specific maintenance of Maharajgunj Budhanilkantha Road,206 Division Road Office Kathmandu1,,,,2018-04-17 20:00:00+05:45,Kathmandu,Roads/Drainage,549
ocds-rw2stw-2DROK-9010/09-074-75/068,Recurrent maintenance of SRN/SURN Roads (Sector 8),206 Division Road Office Kathmandu1,,,,2018-04-17 20:00:00+05:45,Kathmandu,Roads/Drainage,550
ocds-rw2stw-2DROK-9012/09-074-75/070,Specific maintenance of Mijubahal Siphal Road,206 Division Road Office Kathmandu1,,,,2018-04-17 20:00:00+05:45,Kathmandu,Roads/Drainage,559
ocds-rw2stw-2DROK-9008/09-074-75/066,Recurrent maintenance of SRN/SURN Roads (Sector 6),206 Division Road Office Kathmandu1,,,,2018-04-17 20:00:00+05:45,Kathmandu,Roads/Drainage,561
ocds-rw2stw-2DROK-9006/09-074-75/064,Recurrent maintenance of SRN/SURN Roads (Sector 4),206 Division Road Office Kathmandu1,,,,2018-04-17 17:00:00+05:45,Kathmandu,Roads/Drainage,529
ocds-rw2stw-2DROK-9005/09-074-75/063,Recurrent maintenance of SRN/SURN Roads (Sector 3),206 Division Road Office Kathmandu1,,,,2018-04-17 17:00:00+05:45,Kathmandu,Roads/Drainage,537
ocds-rw2stw-2DROK-9007/09-074-75/065,Recurrent maintenance of SRN/SURN Roads (Sector 5),206 Division Road Office Kathmandu1,,,,2018-04-17 17:00:00+05:45,Kathmandu,Roads/Drainage,542
ocds-rw2stw-2DROK-9003/09-074-75/061,Recurrent maintenance of SRN/SURN Roads (Sector 1),206 Division Road Office Kathmandu1,,,,2018-04-17 16:00:00+05:45,Kathmandu,Roads/Drainage,536
ocds-rw2stw-2DROK-9004/09-074-75/062,Recurrent maintenance of SRN/SURN Roads (Sector 2),206 Division Road Office Kathmandu1,,,,2018-04-17 16:00:00+05:45,Kathmandu,Roads/Drainage,539
ocds-rw2stw-NITCK-9493/NITC/G/NCB-7-2074/75,"SUPPLY, DELIVERY AND INSTALLATION OF SECURITY APPLIANCES AND NETWORK DEVICES","National Information Technalogy Center, Kathmandu",,,,2018-04-15 13:00:00+05:45,Kathmandu,Procurement/General,3465
ocds-rw2stw-NPHQK-9303/EQRP/PHQ/MUSIC/2074-75/02,"Finishing Works of Barrack Block at Nepal Police Music School(GF,FF,SF and TF)","Nepal Police Head Quarter, Kathmandu",,2018-06-06T20:34:00+05:45,,2018-04-15 12:00:00+05:45,Kathmandu,Buildings/Facilities,3531
ocds-rw2stw-2DROK-9247/DROKTM2/3371574/074/75-20,"Construction of  RCC Slab Culvert Over Mahadev Khola Thatigaun-2, Tarkeshwor",207 Division Road Office Kathmandu2,,,,2018-04-12 00:00:00+05:45,Kathmandu,Roads/Drainage,521
ocds-rw2stw-2DROK-9280/DROKTM2/3371574/074/75-25,Recurrent Maintenance of Balaju bypass-Nagrjun -Thulokhola Raod,207 Division Road Office Kathmandu2,,,,2018-04-12 00:00:00+05:45,Kathmandu,Other/Uncategorized,534
ocds-rw2stw-2DROK-9279/DROKTM2/3371653/074/75-24,"Kalanki-Nagdhunga,Nagdhunga -Piplamod,Nagdhunga-Tankeshwar Road",207 Division Road Office Kathmandu2,,,,2018-04-12 00:00:00+05:45,Kathmandu,Roads/Drainage,540
ocds-rw2stw-2DROK-9131/DROKTM2/3371653/074/75-23,Recurrent Maintenance of Pharping(Dakshankali) - Pakhelchaur Road,207 Division Road Office Kathmandu2,,,,2018-04-12 00:00:00+05:45,Kathmandu,Roads/Drainage,551
ocds-rw2stw-2DROK-9121/DROKTM2/3371653/074/75-22,"Recurrent maintenance of Balaju Bypass-Thulokhola -Kakani Road, Nepaltar-Futung-SanglaBazzar Road.",207 Division Road Office Kathmandu2,,,,2018-04-12 00:00:00+05:45,Kathmandu,Roads/Drainage,570
ocds-rw2stw-2DROK-9246/DROKTM2/3373564/074/75-21,Construction and Improvement of Thankot- Naubise (TRP) Road (Nagdhunga-Pipalamod Section),207 Division Road Office Kathmandu2,,,,2018-04-12 00:00:00+05:45,Kathmandu,Roads/Drainage,578
ocds-rw2stw-RMASOK-9018/CRMSO/KTM-03/074-75,"Procurement of Construction and Supply of Different Items of Mahadevsthan Matatirtha (Chandragiri 5,6,7) Co-financing Water Supply Project",Regional Monitoring and Supervision Office Kathmandu,,,,2018-04-12 00:00:00+05:45,Kathmandu,Water/Sanitation,4154
ocds-rw2stw-NPHQK-8852/NCB/ PHQ/REG/2074-075/ 04,"Construction of West Gate,Reception Block,Drainage works And  landscape in front of six story building","Nepal Police Head Quarter, Kathmandu",,2018-06-06T20:35:05+05:45,,2018-04-04 13:15:00+05:45,Kathmandu,Roads/Drainage,3500
ocds-rw2stw-DOA-8722/PDRF-50/074/075,"Reconstruction work of Madhav Narayan Dyachhen, Sankhu, Kathmandu",Department of Archaeology,,,,2018-04-04 06:00:00+05:45,Kathmandu,Other/Uncategorized,1907
ocds-rw2stw-DOA-8742/PDRF-57/074/075,"Reconstruction work of Taleju Bhawani temple Dyachhen, Joshigal, Gokarneshwor-4, Kathmandu",Department of Archaeology,,,,2018-04-04 06:00:00+05:45,Kathmandu,Other/Uncategorized,1912
ocds-rw2stw-DOA-8727/PDRF-53/074/075,"Reconstruction work of Gyanmala Bhajan Khala Sattal, Swayambhu, Kathmandu",Department of Archaeology,,,,2018-04-04 06:00:00+05:45,Kathmandu,Other/Uncategorized,1916
ocds-rw2stw-DOA-8683/PDRF-48/074/075,"Reconstruction work of Bhairab Temple Dyachhen, Dhungalachhi,Gokarneshwor-4, Kathmandu",Department of Archaeology,,,,2018-04-04 06:00:00+05:45,Kathmandu,Other/Uncategorized,1922
ocds-rw2stw-DOA-8723/PDRF-51/074/075,"Reconstruction work of Nhekan sattal Mai Temple dyachhen, Chalakhutole, Sankhu,Kathmandu",Department of Archaeology,,,,2018-04-04 06:00:00+05:45,Kathmandu,Other/Uncategorized,1941
ocds-rw2stw-DOA-8726/PDRF-52/074/075,"Reconstruction Work of Paday Sattal, Gokarna, Gokarneswor-03, Kathmandu",Department of Archaeology,,,,2018-04-04 06:00:00+05:45,Kathmandu,Other/Uncategorized,1956
ocds-rw2stw-RCIPRD-8177/ DoLIDAR/ RCIP/NCB-04/2074/075,Upgrading and Performance Based Maintenance of 1. Dudhauli-Lakhima-Ratmata Kartha - Thakur Dama-Arunthakur[Road_1] and 2. Tallo Ranibas-Harshahi-Tadi–Dhanshari [Road_2] at Sindhuli district 3. Bansbari- Bageswori Purano Health Post to VDC Building [Road_3] at Bhaktapur district and 4. Badbhanjyang-Sanomasino-Thulomasino- Satghumti Road [Road_4] at Kathmandu district.,"Rural Connectivity Improvement Project (RCIP), DoLIDAR",,,,2018-04-02 06:00:00+05:45,Kathmandu,Roads/Drainage,4162
ocds-rw2stw-2DROK-8350/DROKTM2/3371653/074/75-19(Re),Supply of construction materials,207 Division Road Office Kathmandu2,,,,2018-04-02 00:00:00+05:45,Kathmandu,Procurement/General,530
ocds-rw2stw-DLPIUBK-8349/MoUD/DLPIU/KTM/NCB WORKS-EBID-2/074/075,"Construction of New Office Building for Attorney General Office at Ramshapath, Kathmandu",District Level Project Implementation Unit (Building) Kathmandu,,,,2018-04-01 20:00:00+05:45,Kathmandu,Buildings/Facilities,1866
ocds-rw2stw-KTMFTEWRP-8592/KTFT/NCB/2074/75/20,Supply of Truck Utility 1 Ton Vehicles,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,,,,2018-03-30 06:00:00+05:45,Kathmandu,Procurement/General,2958
ocds-rw2stw-DOA-8521/PDRF-46/074/075,"Reconstruction Works of Nanak Math,Maiphee,Kathmandu    ",Department of Archaeology,,,,2018-03-29 06:00:00+05:45,Kathmandu,Other/Uncategorized,1918
ocds-rw2stw-DOA-8518/PDRF-43/074/075,"Reconstruction Works of Sattal at Westside of Ram Mandir,Battisputali, Kathmandu",Department of Archaeology,,,,2018-03-29 06:00:00+05:45,Kathmandu,Other/Uncategorized,1921
ocds-rw2stw-DOA-8307/PDRF-32/074/075,"Reconstruction Work of Bajrayogini Basundhara Mai Temple Dyachhen, Sankhu Kathmandu",Department of Archaeology,,,,2018-03-23 06:00:00+05:45,Kathmandu,Other/Uncategorized,1891
ocds-rw2stw-DOA-8308/PDRF-33/074/075,"Reconstruction Work of Bir Bhagwati Temple,Nagarjun, Kathmandu",Department of Archaeology,,,,2018-03-23 06:00:00+05:45,Kathmandu,Other/Uncategorized,1903
ocds-rw2stw-DOA-8316/PDRF-37/074/075,"Reconstruction Work of Pati Sattal at Daha Area, Dahachowk,Kathmandu",Department of Archaeology,,,,2018-03-23 06:00:00+05:45,Kathmandu,Other/Uncategorized,1905
ocds-rw2stw-DOA-8310/PDRF-34/074/075,"Reconstruction Work of Krishna Temple Dyachhen,Sankhu, Kathmandu",Department of Archaeology,,,,2018-03-23 06:00:00+05:45,Kathmandu,Other/Uncategorized,1948
ocds-rw2stw-DTODK-8188/DTO/KTM/TB/Goods/NCB-02/074/75,Fabrication of steel Parts and transportation up to road heads of   a)OkhareniBhangal Steel Truss Bridge Sundarijal  b)Sundarimai Steel Truss Bridge Sundarijal  c) Bagarkhola Steel Truss Bridge Lapsiphedi  ,"District Technical Office (DTO), Kathmandu",,,,2018-03-20 14:00:00+05:45,Kathmandu,Roads/Drainage,2208
ocds-rw2stw-SDDSBRP-7813/SDSBR-3371024-074/75-018 ,Railing Works at Kathmandu Bhaktapur road,"Suryabinayak-Dhulikhel, Dhulikhel-Sindhuli-Bardibaas Road Project",,,,2018-03-19 07:00:00+05:45,Kathmandu,Roads/Drainage,4294
ocds-rw2stw-DOA-8105/DOA-83/074/075,"Reconstruction work of Mahadev Temple, Tokha Tapalachhi, Kathmandu",Department of Archaeology,,,,2018-03-19 06:00:00+05:45,Kathmandu,Other/Uncategorized,1895
ocds-rw2stw-DOA-8106/DOA-84/74/075,"Reconstruction work of Chandeshwori Muskaneshwor Mahadev Temple, Tokha Chnadeshwori, Kathmandu",Department of Archaeology,,,,2018-03-19 06:00:00+05:45,Kathmandu,Other/Uncategorized,1911
ocds-rw2stw-DOA-8108/DOA-85/074/075,"Reconstruction work of Narayan Temple, Tokha Tapalachhi, Kathmandu",Department of Archaeology,,,,2018-03-19 06:00:00+05:45,Kathmandu,Other/Uncategorized,1926
ocds-rw2stw-KTMFTEWRP-8076/KTFT/NCB/GOODS/BAILEY BRIDGE/2074/75-1,Supply of Bailey Bridge,Kathmandu-Terai / Madesh Fast Track (Express Way) Road Project,,,,2018-03-18 06:00:00+05:45,Kathmandu,Roads/Drainage,2969
ocds-rw2stw-NITDB-8056/NIRTTP/PCO/NITDB/W/NCB-62,Construction of Kathmandu ICD/CFS(Part B-Office and Quarters)   NIRTTP/PCO/NITDB/W/NCB-62,Nepal Intermodal Transport Development Board,,,,2018-03-18 05:00:00+05:45,Kathmandu,Buildings/Facilities,3441
